city,long,lat,t_mean,t_diu,t_sd,t_max,t_min,p_ann,p_max,p_min,p_cv
Tokyo,139.751,35.685,15.6,7.9,7.492,30.7,0.7,1428,185,47,40
Shanghai,121.4,31.046,16.2,7.4,8.339,31.6,0.8,1050,167,41,46
Mumbai,72.826,18.975,26.8,7.3,1.767,32.7,18.9,2370,827,0,143
Karachi,67.082,24.906,25.9,9.9,4.035,34.2,12,194,82,0,134
Delhi,77.217,28.667,25.1,13.1,6.715,40.5,7.3,734,274,3,142
Manila,120.982,14.604,27.3,8,1.078,33.8,21.4,2150,466,8,90
Moscow,37.616,55.752,4.9,7.7,9.803,23.3,-12.2,679,90,33,30
Seoul,126.978,37.599,10.9,9.6,10.167,29,-9.5,1420,412,21,97
Sao Paulo,-46.666,-23.473,18.2,10,2.137,26.1,9.7,1388,233,34,59
Istanbul,28.965,41.019,14,7.4,6.292,27.4,3,759,126,24,49
Lagos,3.396,6.453,27,6.4,1.09,31.8,22.7,1672,380,21,74
Mexico,-99.139,19.434,15.8,17,2.039,27.1,2.7,641,127,6,89
Jakarta,106.829,-6.174,27.5,9.2,0.43,33.3,22.2,1949,378,66,56
New York,-74.006,40.714,12,9.1,8.775,29.3,-4.5,1150,108,78,10
Kinshasa,15.3,-4.3,25.6,9.9,1.333,32.2,17.7,1370,250,2,70
Cairo,31.25,30.05,21.4,13.5,5.242,35,7.4,20,5,0,96
Lima,-77.05,-12.05,18.8,8.2,2.659,27.7,12.2,15,3,0,54
Beijing,116.388,39.929,12.1,11.2,10.686,31.1,-9.3,608,196,3,132
London,-0.094,51.514,11,7.9,4.943,23.3,1.6,627,61,40,12
Bogota,-74.063,4.649,11.4,9.5,0.324,17.2,5.3,994,130,38,35
Dhaka,90.409,23.723,25.9,9.3,3.667,34.6,12.5,1979,362,6,82
Lahore,74.344,31.55,24,13.5,7.331,40.5,5.2,608,190,4,115
Rio de Janeiro,-43.233,-22.9,23.1,7.6,1.969,30.1,16.4,1255,150,51,36
Baghdad,44.394,33.339,22.7,15.4,8.704,43.4,4.3,159,30,0,85
Bangkok,100.501,13.754,28,8.8,1.329,34.7,20.2,1457,323,7,83
Santiago,-70.667,-33.45,14.7,14.5,4.373,29.7,2.8,355,87,2,101
Toronto,-79.417,43.667,7.9,9.1,9.543,26.7,-9.6,793,83,52,12
Rangoon,96.167,16.783,27.3,9.4,1.485,36.7,18.1,2465,531,3,101
Sydney,151.205,-33.861,17.6,9.1,3.668,26.2,7,1275,149,59,26
Saint Petersburg,30.264,59.894,4.9,6.9,8.937,22.2,-10.1,636,79,29,32
Los Angeles,-118.243,34.052,18.3,11.8,3.509,29.7,7.8,394,90,0,101
Melbourne,144.963,-37.814,14.8,10,3.768,26.2,5.6,656,69,44,15
Abidjan,-4.013,5.31,26.7,7.2,1.055,32.2,21.6,1790,568,21,94
Casablanca,-7.619,33.593,17.7,9.6,3.705,27.6,7.5,411,80,1,77
Singapore,103.856,1.293,26.8,7.7,0.446,31.4,22.3,2363,305,160,24
Riyadh,46.715,24.654,25.4,14.7,7.128,42.6,8.4,111,29,0,102
Ho Chi Minh City,106.667,10.75,27.4,8.4,0.999,34.5,21.2,1822,305,2,79
Cape Town,18.423,-33.926,16.6,10,2.941,26,7.7,885,145,25,61
Berlin,13.4,52.517,9,8.1,6.918,23.8,-3.4,574,70,34,22
Montreal,-73.583,45.5,6.5,10.4,10.737,27.1,-14.5,965,98,62,13
Madrid,-3.692,40.409,14.1,10.4,6.672,31.4,1.6,437,56,10,38
Kabul,69.183,34.517,12.1,14.9,8.676,32.3,-7.9,330,79,1,97
Luanda,13.233,-8.837,24.4,5.8,2.336,30.2,17.6,440,144,0,126
Addis Abeba,38.749,9.024,15.2,13.6,1.139,24.2,5.6,1156,267,9,90
Nairobi,36.817,-1.283,18.4,11.9,1.205,26.8,10.6,935,210,15,76
Dakar,-17.438,14.671,24.7,7.6,2.499,31.4,16.8,461,179,0,156
Rome,12.483,41.9,15.7,10,5.805,30.2,3.8,788,114,17,43
Santo Domingo,-69.9,18.467,25.7,9.8,1.086,31.8,18.8,1506,198,50,46
Paris,2.333,48.867,11.3,8.4,5.687,24.6,0.8,633,58,43,9
