waterSource,tempCels,pH,elecCond,totSolid,Ca,Mg,Na,K,Cl,SO4,HCO3,SiO2,geoStruct
Kanjiza,45,7.7,3770,4.173,5.6,3.8,1157,7.9,56.8,2,2903.6,36.7,1
Junakovic,25,7.3,5100,6.2,24,24,476,4,369,2,829,25,1
Koviljaka,25,6.6,677,0.641,120,36.6,200,22.2,89,55,890,18,1
Selters,48,7,2219,2.119,60,18,2280,30,1560,2,3360,20,1
Visnjicka,14.4,7.5,1100,1.1,56,48.8,226.1,3.5,198.8,82,573.4,22,1
Vrdnik,33,7.4,722,0.538,60,67,69,7.1,28,90,555,10,2
Bogutovacka,25,7.2,440,0.377,50,61,28,1.5,10,15,440,20,2
Niska,39.1,7.6,265,0.313,62,14,22.7,1.2,28,40,220,18,2
Soko Park,43,7.5,248,0.2,74,17,7,8,14,20,295,18,2
Ovcar,35,7,324,0.322,102,32,13,2.5,14,18,456,25,2
Gamzigradska,34,7.9,531,0.46,60,23,149,3.2,86,28,270,35,3
Josanica,26.1,7.3,350,0.322,50,25,6.4,3.4,7,30,256,22,3
Ribarska,38,9,413,0.489,4,0.2,92,1.7,7,53,122,60,3
Prolom,26.4,9,211,0.228,4,0.1,48.4,0.2,7,2,79.3,60,3
Sijarinska,45,7.5,2040,1.9,50,30.5,1150,46.8,92,96,3233,40,3
Vranjska,95,6.9,1256,0.665,30,2.4,326,8.6,57,365,384.3,90,3
Banjska,40,6.7,640,0.63,31,28.5,300,14.4,75,65,770,52,3
Ljig,30,7.2,917,1.18,40,18.3,276.4,13.2,35.5,5,902.8,19.3,3
Kursumliska,53,7.1,2550,3.168,26,33,713,34,28,14,2135,120,3
Mataruska,30,6.9,1263,1.422,50,58,230,9.7,63,27,915,40,3
Gornja Trepca,31,7.5,395,0.362,26,61,10,1.3,10,8,385,18,3
Vuca,30,8.4,110,0.1,48,0.5,15.6,0.6,17,0.9,164,2,3
Tularska,21.7,7.4,3703,2.3364,178,74,1090,31,147,486,2684,36,3
Novopazarska,40,6.8,1700,1.6,35,27,378,10.5,42,16,1170,45,3
Vrnjacka Jezero,25.5,6.7,2658,3.12,120,97,447,43,31,6,2040,45,4
Vrnjacka Sneznik,17,6.7,1380,1.496,122,95,447,43,31,6,2040,45,4
Vrnjacka Topla,36,6.5,2480,2.758,123,100,447,43,31,6,2040,45,4
Bukovicka,20,7.5,1100,0.99,100,24,1170,43,21,2,3538,110,4
Veluce,21,6.5,1800,1.75,80,293,195,12,39,4,2171,35,4
Bujanovacka,30,6.8,2650,2.3,40,21,1443,47,67,180,3086,30,4
