Espece,Nom_Espece,Species_Name
ABBA,Sapin baumier,Balsam Fir
ACPE,Érable de Pennsylvanie,Striped Maple
ACRU,Érable rouge,Red Maple
ACSA,Érable à sucre,Sugar Maple
ACSP,Érable à épis,Mountain Maple
AMLA,Amélanchier,Indian Pear
BELU,Bouleau jaune,Yellow Birch
BEPA,Bouleau blanc,White Birch
BEPO,Bouleau gris,Grey Birch
FAGR,Hêtre à grandes feuilles,American Beech
FRAM,Frêne blanc,White Ash
HAVI,Hamamélis de Virginie,Witch Hazel
OSVI,Ostryer de Virginie,Ironwood
PIGL,Épinette blanche,White Spruce
PIRU,Épinette rouge,Red Spruce
PIRE,Pin rouge,Red Pine
PIST,Pin blanc,White Pine
POTR,Peuplier faux-tremble,Trembling Aspen
POGR,Peuplier à grandes dents,Large Tooth Aspen
QUBO,Chêne rouge,Red Oak
SOAM,Sorbier d'Amérique,American Mountain Ash
THOC,Thuya occidental,Eastern White Cedar
TSCA,Pruche du Canada,Eastern Hemlock
ULAM,Orme d'Amérique,White Elm
