speciesID,species1,species2,migDate,latBreed,latWntr,sexDchrmt,nestSite,moult,mWngLn,fWngLn,numSpecies,X,Y
1,Acrocephalus,arundinaceus,33,46,-10.3,0,0,1,96.8,92.3,641,-10.3,33
3,Acrocephalus,scirpaceus,38,48,0,0,0,1,66.8,66,546,0,38
4,Anthus,campestris,32,43.5,6,0,0,0,91.6,86.9,140,6,32
5,Anthus,trivialis,27,55.3,-10,0,0,0,88.7,84.7,3531,-10,27
7,Caprimulgus,europaeus,35,47.5,-7.5,4.3,0,1,192.1,194.3,269,-7.5,35
8,Coturnix,coturnix,30,50.3,18.5,2,0,0,111.5,113.1,104,18.5,30
9,Cuculus,canorus,31,51,-15,2.3,0,1,227.3,216.2,166,-15,31
11,Emberiza,hortulana,30.8,51.5,7.5,7,0,0,90.5,85.2,101,7.5,30.8
12,Ficedula,albicollis,30,48.8,-10,17.3,1,0,83.5,81.8,737,-10,30
13,Ficedula,hypoleuca,28,59,7.5,16,1,0,81.1,79.5,12837,7.5,28
15,Hirundo,rustica,27,49,-10,4,0,1,126.3,123.7,5878,-10,27
16,Jynx,torquilla,23,49,9,0,1,0,89.6,89,533,9,23
17,Lanius,senator,30,39,9.5,4.3,0,1,101.8,101.4,3500,9.5,30
19,Luscinia,megarhynchos,25,42.5,7.5,0,0,0,83.9,81.8,4186,7.5,25
20,Merops,apiaster,33,42.5,-2.5,1.7,0,0,151.8,147,421,-2.5,33
21,Monticola,saxatilis,25.7,40.5,2.5,21.7,1,0,126.5,120.8,81,2.5,25.7
23,Muscicapa,striata,36,49,-13,0,0,1,85.8,86,8802,-13,36
24,Oenanthe,hispanica,23,37,13,8.7,0,0,92,89,625,13,23
25,Oenanthe,oenanthe,26,49,4.5,8,1,0,96.7,93.9,3131,4.5,26
27,Otus,scops,25,44,6,0,1,0,160,161,253,6,25
28,Phoenicurus,phoenicurus,29,49,7.5,17.3,1,0,81.3,79.4,5290,7.5,29
29,Phylloscopus,sibilatrix,31,53.8,1.5,0,0,1,76.7,73.4,14530,1.5,31
31,Riparia,riparia,34,52.5,-2.5,0,0,1,106.7,106.5,552,-2.5,34
32,Saxicola,rubetra,31,56,0,8,0,0,78.1,76,16319,0,31
33,Streptopelia,turtur,31,45.5,12.5,1.7,0,0,178.8,175.1,2230,12.5,31
35,Sylvia,borin,38,52.5,-10,0,0,1,79.3,78.4,30956,-10,38
36,Sylvia,cantillans,23,37,13,3,0,0,61.9,61.1,11765,13,23
37,Sylvia,communis,34,48,-2.5,5.3,0,0,74.6,73.4,18116,-2.5,34
