stream,pH,temperature,mayfly,stonefly,caddisfly,diptera,beetle
1,6.8,17.4,26,4,9,30,3
2,5.5,17.1,17,1,23,16,17
3,6.3,17,7,2,25,10,1
4,7.3,16.8,17,6,9,25,1
5,7.2,18.9,27,3,16,25,2
6,7,18.1,28,6,19,30,21
7,7,16.3,19,4,21,19,13
8,6.1,15,6,4,21,30,12
9,6.2,15.8,9,5,37,26,5
10,7.5,16.8,19,3,12,12,3
11,5.6,16,9,3,28,24,3
12,6.1,17.8,4,1,35,36,9
13,6.3,17.8,2,3,25,21,6
14,6.7,15.3,19,8,7,36,8
15,7,18.2,12,5,23,9,4
16,7,19.8,13,6,9,0,15
17,5.7,15.3,5,0,32,11,8
18,7.1,17.2,27,5,21,32,6
19,5.6,18.2,6,4,24,12,13
20,5.6,15,3,4,23,39,4
